counter,shot_type,made,attempts,percentage
1000,running finger,28,41,0.6829268292682927
1000,alley oop layup shot,139,197,0.7055837563451777
1000,running tip-in,3,3,1.0
1000,de souza jump,1,1,1.0
1000,de souza driving layup,1,1,1.0
1000,running tip,2,2,1.0
1000,running 3pt,5,5,1.0
1100,hook,1628,3541,0.4597571307540243
1100,jump bank,1324,1878,0.7050053248136315
1100,jump,28980,83376,0.34758203799654575
1100,turnaround jump,1824,3348,0.5448028673835126
1100,running dunk,127,132,0.9621212121212122
1100,driving layup,7260,9578,0.7579870536646481
1100,running jump,2237,3806,0.5877561744613767
1100,follow up dunk,469,515,0.9106796116504854
1100,dunk,3045,3496,0.8709954233409611
1100,fade away,766,1226,0.6247960848287113
1100,reverse layup,1748,2541,0.6879181424635971
1100,layup,13904,29395,0.4730056131995237
1100,driving dunk,830,876,0.9474885844748858
1100,tip,1584,3141,0.504297994269341
1100,driving finger roll,560,737,0.7598371777476255
1100,slam dunk,2008,2046,0.9814271749755621
1100,turnaround hook,261,453,0.5761589403973509
1100,alley oop layup,183,251,0.7290836653386454
1100,running hook,292,480,0.6083333333333333
1100,alley oop dunk,753,833,0.9039615846338536
1100,running layup,456,720,0.6333333333333333
1100,jump hook,786,1281,0.6135831381733021
1100,tip-in,11,71,0.15492957746478872
1100,turnaround finger roll,17,18,0.9444444444444444
1100,hook bank,66,74,0.8918918918918919
1100,reverse dunk,176,187,0.9411764705882353
1100,3pt,7500,18872,0.397414158541755
1100,fade away jumper,665,1113,0.5974842767295597
1100,driving hook,119,201,0.5920398009950248
1100,finger roll,245,357,0.6862745098039216
1100,running finger roll,40,51,0.7843137254901961
1100,running finger,34,48,0.7083333333333334
1100,alley oop layup shot,170,236,0.7203389830508474
1100,running tip-in,3,3,1.0
1100,de souza jump,1,1,1.0
1100,de souza driving layup,1,1,1.0
1100,running tip,2,2,1.0
1100,running 3pt,5,5,1.0
1200,hook,1780,3877,0.4591178746453443
1200,jump bank,1411,2010,0.7019900497512438
1200,jump,31118,89346,0.34828643699773915
1200,turnaround jump,2012,3702,0.5434900054024852
1200,running dunk,143,148,0.9662162162162162
1200,driving layup,7848,10413,0.7536732929991357
1200,running jump,2420,4127,0.5863823600678459
1200,follow up dunk,488,538,0.9070631970260223
1200,dunk,3362,3867,0.86940780967158
1200,fade away,766,1226,0.6247960848287113
1200,reverse layup,1878,2739,0.6856516976998904
1200,layup,15040,31841,0.47234697402719766
1200,driving dunk,917,968,0.9473140495867769
1200,tip,1712,3403,0.5030855127828386
1200,driving finger roll,599,785,0.7630573248407644
1200,slam dunk,2196,2235,0.9825503355704698
1200,turnaround hook,299,507,0.5897435897435898
1200,alley oop layup,201,274,0.7335766423357665
1200,running hook,310,517,0.5996131528046421
1200,alley oop dunk,810,897,0.903010033444816
1200,running layup,504,784,0.6428571428571429
1200,jump hook,847,1379,0.6142131979695431
1200,tip-in,11,71,0.15492957746478872
1200,turnaround finger roll,20,23,0.8695652173913043
1200,hook bank,68,77,0.8831168831168831
1200,reverse dunk,189,202,0.9356435643564357
1200,3pt,8812,22414,0.3931471401802445
1200,fade away jumper,807,1350,0.5977777777777777
1200,driving hook,121,210,0.5761904761904761
1200,finger roll,259,377,0.6870026525198939
1200,running finger roll,40,51,0.7843137254901961
1200,running finger,37,52,0.7115384615384616
1200,alley oop layup shot,187,258,0.7248062015503876
1200,running tip-in,3,3,1.0
1200,de souza jump,1,1,1.0
1200,de souza driving layup,1,1,1.0
1200,running tip,2,3,0.6666666666666666
1200,running 3pt,5,5,1.0
1200,driving reverse layup,14,20,0.7
1200,running reverse layup,3,3,1.0
1200,putback dunk,19,22,0.8636363636363636
1200,driving jump,8,10,0.8
1200,turnaround fade away,16,25,0.64
1200,putback layup,10,13,0.7692307692307693
1200,running slam dunk,4,4,1.0
